setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,casos,poblacio
15,2021,12/04/2021,18/04/2021,78,BARCELONA,7801,METROPOLITANA SUD,Dona,60 a 69,3,1.00,52076.00
2,2022,10/01/2022,16/01/2022,64,GIRONA,6400,GIRONA,Dona,45 a 59,3,2.00,54079.00
36,2020,31/08/2020,06/09/2020,61,LLEIDA,6100,LLEIDA,Dona,80 o més,3,1.00,9008.00
5,2021,01/02/2021,07/02/2021,64,GIRONA,6400,GIRONA,Home,70 a 79,4,2.00,12021.00
41,2020,05/10/2020,11/10/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,45 a 59,3,1.00,112392.00
23,2021,07/06/2021,13/06/2021,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,70 a 79,3,2.00,13642.00
18,2021,03/05/2021,09/05/2021,78,BARCELONA,7801,METROPOLITANA SUD,Home,80 o més,3,1.00,18439.00
29,2022,18/07/2022,24/07/2022,61,LLEIDA,6100,LLEIDA,Home,70 a 79,3,1.00,8352.00
29,2021,19/07/2021,25/07/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Home,60 a 69,3,1.00,20038.00
27,2020,29/06/2020,05/07/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,70 a 79,2,1.00,18487.00
3,2021,18/01/2021,24/01/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Home,60 a 69,3,6.00,20038.00
2,2021,11/01/2021,17/01/2021,64,GIRONA,6400,GIRONA,Home,80 o més,4,14.00,6424.00
33,2021,16/08/2021,22/08/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,70 a 79,3,1.00,14947.00
5,2022,31/01/2022,06/02/2022,64,GIRONA,6400,GIRONA,Dona,70 a 79,3,2.00,20994.00
9,2022,28/02/2022,06/03/2022,78,BARCELONA,7801,METROPOLITANA SUD,Dona,70 a 79,3,1.00,43709.00
