setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,casos,poblacio
36,2021,06/09/2021,12/09/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,60 a 69,3,1.00,51057.00
1,2021,04/01/2021,10/01/2021,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,Dona,80 o més,3,1.00,3020.00
47,2020,16/11/2020,22/11/2020,64,GIRONA,6400,GIRONA,Dona,80 o més,4,2.00,10436.00
42,2020,12/10/2020,18/10/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,70 a 79,2,1.00,18487.00
20,2022,16/05/2022,22/05/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,80 o més,2,2.00,5191.00
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,4,3.00,7274.00
26,2022,27/06/2022,03/07/2022,61,LLEIDA,6100,LLEIDA,Dona,80 o més,4,1.00,4708.00
41,2020,05/10/2020,11/10/2020,78,BARCELONA,7802,METROPOLITANA NORD,Home,45 a 59,1,1.00,16067.00
34,2022,22/08/2022,28/08/2022,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Dona,70 a 79,3,1.00,5984.00
26,2020,22/06/2020,28/06/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,1,2.00,14695.00
29,2020,13/07/2020,19/07/2020,61,LLEIDA,6100,LLEIDA,Home,80 o més,3,1.00,5532.00
44,2020,26/10/2020,01/11/2020,78,BARCELONA,7802,METROPOLITANA NORD,Home,70 a 79,4,2.00,14784.00
10,2022,07/03/2022,13/03/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,80 o més,3,4.00,18707.00
23,2020,01/06/2020,07/06/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,80 o més,2,1.00,4882.00
14,2020,30/03/2020,05/04/2020,78,BARCELONA,7802,METROPOLITANA NORD,Home,60 a 69,3,17.00,49860.00
8,2021,22/02/2021,28/02/2021,64,GIRONA,6400,GIRONA,Dona,80 o més,4,4.00,10612.00
19,2021,10/05/2021,16/05/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,70 a 79,3,2.00,34629.00
46,2020,09/11/2020,15/11/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,2,24.00,32618.00
19,2020,04/05/2020,10/05/2020,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,70 a 79,4,1.00,8605.00
16,2020,13/04/2020,19/04/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,60 a 69,1,3.00,18325.00
53,2020,28/12/2020,03/01/2021,64,GIRONA,6400,GIRONA,Dona,80 o més,2,1.00,2298.00
